.bar,http://$.bar
.bargains,http://$.bargains
.bible,http://$.bible
.bike,http://$.bike
.biz,http://$.biz
.black,http://$.black
.blackfriday,http://$.blackfriday
.blog,http://$.blog
.blue,http://$.blue
.bot,http://$.bot
.builders,http://$.builders
.cab,http://$.cab
.cam,http://$.cam
.camera,http://$.camera
.camp,http://$.camp
.cancerresearch,http://$.cancerresearch
.car,http://$.car
.cards,http://$.cards
.cars,http://$.cars
.center,http://$.center
.cheap,http://$.cheap
.chritsmas,http://$.chritsmas
.church,http://$.church
.click,http://$.click
.clothing,http://$.clothing
.cloud,http://$.cloud
.club,http://$.club
.codes,http://$.codes
.coffee,http://$.coffee
.college,http://$.college
.coop,http://$.coop
.country,http://$.country
.dance,http://$.dance
.data,http://$.data
.date,http://$.date
.dating,http://$.dating
.design,http://$.design
.dev,http://$.dev
.diet,http://$.diet
.directory,http://$.directory
.download,http://$.download
.eco,https://$.eco
.education,https://$.education
.email,https://$.email
.events,https://$.events
.exchange,https://$.exchange
.exposed,https://$.exposed
.faith,https://$.faith
.farm,https://$.farm
.flowers,https://$.flowers
.game,https://$.game
.gdn,https://$.gdn
.gift,https://$.gift
.glass,https://$.glass
.global,https://$.global
.gop,https://$.gop
.green,https://$.green
.guitars,https://$.guitars
.guru,https://$.guru
.help,https://$.help
.hiphop,https://$.hiphop
.hiv,https://$.hiv
.holdings,https://$.holdings
.hosting,https://$.hosting
.house,https://$.house
.info,https://$.info
.ink,https://$.ink
.international,https://$.international
.jobs,https://$.jobs
.kim,https://$.kim
.land,https://$.land
.lgbt,https://$.lgbt
.life,https://$.life
.lighting,https://$.lighting
.link,https://$.link
.live,https://$.live
.loan,https://$.loan
.lol,https://$.lol
.love,https://$.love
.market,https://$.market
.med,https://$.med
.meet,https://$.meet
.menu,https://$.menu
.mobi,https://$.mobi
.moe,https://$.moe
.mom,https://$.mom
.movie,https://$.movie
.museum,https://$.museum
.music,https://$.music
.name,https://$.name
.new,https://$.new
.ngo,https://$.ngo
.org,https://$.org
.one,https://$.one
.ong,https://$.ong
.onl,https://$.onl
.ooo,https://$.ooo
.organic,https://$.organic
.pharmacy,https://$.pharmacy
.photo,https://$.photo
.photos,https://$.photos
.pics,https://$.pics
.pink,https://$.pink
.pizza,https://$.pizza
.plumbing,https://$.plumbing
.porn,https://$.porn
.post,https://$.post
.pro,https://$.pro
.properties,https://$.properties
.property,https://$.property
.realtor,https://$.realtor
.rich,https://$.rich
.rocks,https://$.rocks
.sale,https://$.sale
.science,https://$.science
.sex,https://$.sex
.sexy,https://$.sexy
.shop,https://$.shop
.singles,https://$.singles
.social,https://$.social
.solar,https://$.solar
.stream,https://$.stream
.sucks,https://$.sucks
.support,https://$.support
.tattoo,https://$.tattoo
.tel,https://$.tel
.today,https://$.today
.top,https://$.top
.travel,https://$.travel
.ventures,https://$.ventures
.video,https://$.video
.voting,https://$.voting
.wedding,https://$.wedding
.wiki,https://$.wiki
.win,https://$.win
.work,https://$.work
.wtf,https://$.wtf
.xxx,https://$.xxx
.xyz,https://$.xyz
.kaufen,https://$.kaufen
.desi,https://$.desi
.shiksha,https://$.shiksha
.moda,https://$.moda
.futbol,https://$.futbol
.juegos,https://$.juegos
.uno,https://$.uno
.africa,https://$.africa
.asia,http://$.asia
.krd,http://$.krd
.taipei,http://$.taipei
.tokyo,http://$.tokyo
.alsace,http://$.alsace
.amsterdam,http://$.amsterdam
.bcn,http://$.bcn
.barcelona,http://$.barcelona
.berlin,http://$.berlin
.brussels,http://$.brussels
.bzh,http://$.bzh
.cat,http://$.cat
.cymru,http://$.cymru
.eus,http://$.eus
.frl,http://$.frl
.gal,http://$.gal
.gent,http://$.gent
.irish,http://$.irish
.ist,http://$.ist
.istanbul,http://$.istanbul
.london,http://$.london
.paris,http://$.paris
.saarland,http://$.saarland
.scot,http://$.scot
.swiss,http://$.swiss
.vlaanderen,http://$.vlaanderen
.wales,http://$.wales
.wien,http://$.wien
.boston,http://$.boston
.miami,http://$.miami
.nyc,http://$.nyc
.quebec,http://$.quebec
.vegas,http://$.vegas
.kiwi,http://$.kiwi
.melbourne,http://$.melbourne
.sydney,http://$.sydney
.lat,http://$.lat
.rio,http://$.rio
.aaa,http://$.aaa
.abb,http://$.abb
.aeg,http://$.aeg
.afl,http://$.afl
.aig,http://$.aig
.airtel,http://$.airtel
.bbc,http://$.bbc
.bentley,http://$.bentley
